Brand_name,Price,Discount_item_clean,Discounted_Price_clean,Ratings_clean,Shades_clean
Plum Matte,499.0,15.0,424,4333.0,1.0
Insight Cosmetics,,,235,1214.0,5.0
Just Herbs,225.0,27.0,164,1219.0,6.0
M.A.C MACximal,,,2550,,4.0
Insight Cosmetics,,,100,37.0,14.0
DIOR Rouge,,,4500,250.0,10.0
ETUDE HOUSE,1150.0,20.0,920,262.0,5.0
Insight Cosmetics,,,285,1035.0,24.0
Armani Lip,,,3500,,6.0
Revlon Colorstay,1299.0,30.0,909,1103.0,11.0
Renee Cosmetics,650.0,16.0,549,1485.0,2.0
Bella Vita,699.0,36.0,447,155.0,
Benefit Cosmetics,,,2450,889.0,
Nykaa Gloss,575.0,25.0,431,2888.0,
Yves Saint,,,4000,36.0,4.0
MARS Liquid,249.0,4.0,239,2538.0,24.0
Kay Beauty,899.0,15.0,764,1096.0,
NARS Powermatte,,,2800,10.0,13.0
Love Earth,1999.0,65.0,699,1137.0,
Nykaa Cosmetics,658.0,30.0,461,173870.0,
Swiss Beauty,349.0,12.0,307,1366.0,8.0
Revlon Super,999.0,20.0,799,2937.0,26.0
Sacred Herbs,785.0,,685,119.0,5.0
Swiss Beauty,410.0,12.0,361,480.0,11.0
Etude House,1150.0,10.0,1035,9.0,6.0
Swiss Beauty,299.0,25.0,224,10873.0,25.0
,990.0,14.0,851,446.0,11.0
NARS Explicit,,,3500,13.0,28.0
Love Earth,2499.0,60.0,999,62.0,
SUGAR POP,229.0,40.0,137,1444.0,3.0
FAE Beauty,650.0,10.0,585,14.0,
Lakme Ultimate,270.0,15.0,230,2799.0,7.0
MyGlamm Ultimatte,549.0,30.0,384,2044.0,11.0
Maybelline New,329.0,10.0,296,5703.0,
Typsy Beauty,949.0,10.0,854,66.0,4.0
e.l.f. Cosmetics,1050.0,10.0,945,176.0,8.0
PIXI Sheer,,,1600,422.0,3.0
Insight Cosmetics,,,350,3754.0,30.0
Huda Beauty,,,2750,216.0,
Bobbi Brown,,,1690,1101.0,1.0
Quench Illuminating,599.0,9.0,545,93.0,
Baked Beauty,900.0,47.0,477,96.0,
Makeup Revolution,299.0,10.0,269,4414.0,7.0
Huda Beauty,,,2200,6734.0,15.0
NARS Afterglow,,,2900,10.0,16.0
e.l.f. Cosmetics,1150.0,25.0,863,652.0,15.0
Estee Lauder,,,3500,13.0,12.0
Colorbar Definer,699.0,22.0,545,625.0,6.0
